Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
133,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,8,0,0,4,0,0,0,1,1,4,0,2,0,2,0,0,0,2,1,0,7,0,0,1,0,1,0,1,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
137,3,0,0,9,0,1,0,1,2,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,1
138,4,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
139,4,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0,3,0,0,0,0
140,4,0,1,4,0,1,1,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
141,2,0,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0
142,4,0,0,2,0,0,2,2,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,0,0,3,0,2,0,0
143,7,1,0,5,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
144,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4,0,0,6,0,1,0,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0
147,11,0,0,20,0,1,0,1,1,0,0,2,7,5,0,0,1,1,0,0,0,2,0,0,0,1,3,0,0,1
148,6,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0
149,6,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
